Date,Time,Type,Wind,Pressure,Latitude(°N),Longitude(°E),Humidity(%),Temperature(°C),Visibility(km),Precipitation(mm),SST(°C),Storm Surge(m),Wave Height(m),Air Density(kg/m³)
12-May,18:00,Severe Cyclonic Storm,132,991,18.7,82.0,81,22,0,50,14,0.3,1.7,1.225
12-May,18:00,Cyclonic Storm,164,938,14.3,78.6,78,9,1,2,15,0.7,0.6,1.225
12-May,6:00,Disturbance,151,992,12.2,82.5,86,23,8,85,11,0.7,0.6,1.225
12-May,0:00,Cyclonic Storm,47,999,17.5,78.2,97,4,0,56,20,0.1,0.7,1.225
13-May,12:00,Severe Cyclonic Storm,130,956,8.7,84.7,88,20,6,9,13,0.5,0.9,1.225
13-May,6:00,Cyclonic Storm,158,943,16.7,82.1,82,12,13,89,22,0.4,2.0,1.225
13-May,18:00,Depression,182,964,13.2,80.9,79,16,9,11,14,1.1,1.5,1.225
13-May,12:00,Depression,54,952,16.6,75.2,87,23,7,48,26,0.1,1.2,1.225
14-May,12:00,Extremely Severe Cyclonic Storm,45,972,15.6,74.9,80,20,14,95,11,1.0,0.2,1.225
14-May,12:00,Low Pressure Area,45,941,12.7,79.6,86,18,2,64,24,0.9,0.3,1.225
14-May,12:00,Very Severe Cyclonic Storm,152,1000,18.7,79.1,99,6,10,28,26,0.6,1.6,1.225
14-May,0:00,Low Pressure Area,175,987,15.5,84.4,89,4,12,87,11,0.9,1.2,1.225
15-May,12:00,Severe Cyclonic Storm,75,998,16.9,79.1,99,8,3,65,17,0.9,0.1,1.225
15-May,18:00,Cyclonic Storm,84,997,16.0,74.0,95,12,2,92,24,0.7,0.6,1.225
15-May,6:00,Low Pressure Area,182,995,18.5,76.8,78,7,3,42,25,0.4,0.5,1.225
15-May,0:00,Extremely Severe Cyclonic Storm,54,971,17.7,78.3,84,14,8,59,13,0.9,0.4,1.225
16-May,12:00,Extremely Severe Cyclonic Storm,182,969,15.4,84.0,94,25,4,49,26,0.7,1.3,1.225
16-May,6:00,Disturbance,49,965,11.9,73.5,87,8,2,41,23,0.4,1.7,1.225
16-May,12:00,Very Severe Cyclonic Storm,153,957,18.0,76.8,84,10,12,86,16,0.7,1.8,1.225
16-May,6:00,Very Severe Cyclonic Storm,74,991,16.2,76.7,75,8,0,68,17,0.9,1.9,1.225
17-May,6:00,Extremely Severe Cyclonic Storm,176,939,15.6,80.1,92,11,1,40,11,0.8,1.6,1.225
17-May,0:00,Very Severe Cyclonic Storm,161,969,17.8,81.0,99,27,2,33,18,0.3,1.3,1.225
17-May,12:00,Depression,176,987,15.1,74.4,91,12,6,14,13,1.3,1.7,1.225
17-May,6:00,Cyclonic Storm,193,1000,13.7,78.9,75,11,10,56,23,1.2,0.8,1.225
18-May,18:00,Low Pressure Area,147,995,17.2,83.7,84,13,4,89,18,1.3,1.1,1.225
18-May,6:00,Cyclonic Storm,210,978,18.4,73.9,96,24,0,93,15,1.5,1.4,1.225
18-May,18:00,Low Pressure Area,134,967,15.7,80.4,76,16,13,10,25,0.5,1.0,1.225
18-May,6:00,Cyclonic Storm,51,945,15.9,76.2,99,23,8,7,18,1.0,1.3,1.225
19-May,6:00,Very Severe Cyclonic Storm,46,941,16.6,83.7,77,19,14,62,11,0.6,1.5,1.225
19-May,6:00,Very Severe Cyclonic Storm,37,959,14.9,73.5,87,13,11,64,26,1.4,1.6,1.225
19-May,0:00,Disturbance,218,998,16.7,84.7,98,16,7,8,23,1.4,0.5,1.225
19-May,18:00,Depression,38,940,14.1,83.4,99,21,11,5,14,1.4,0.4,1.225
20-May,12:00,Cyclonic Storm,48,978,16.0,80.7,90,7,10,3,21,0.3,1.1,1.225
20-May,6:00,Very Severe Cyclonic Storm,103,953,19.7,78.1,99,17,8,40,27,0.4,0.3,1.225
20-May,18:00,Extremely Severe Cyclonic Storm,93,976,16.9,78.6,84,4,10,61,16,1.2,1.2,1.225
20-May,12:00,Depression,211,946,15.0,78.1,88,6,3,76,21,1.5,1.8,1.225
21-May,0:00,Cyclonic Storm,163,937,10.8,75.7,99,16,7,34,16,1.1,1.3,1.225
21-May,0:00,Cyclonic Storm,81,947,10.4,78.4,89,4,1,86,12,1.0,1.3,1.225
21-May,12:00,Severe Cyclonic Storm,81,941,18.4,84.8,97,24,14,5,11,0.3,1.8,1.225
21-May,18:00,Very Severe Cyclonic Storm,211,1000,9.7,73.7,75,25,1,14,20,1.1,1.5,1.225
22-May,6:00,Severe Cyclonic Storm,178,955,8.2,79.2,91,7,13,35,12,0.6,0.6,1.225
22-May,12:00,Extremely Severe Cyclonic Storm,186,964,18.6,81.6,95,5,9,90,15,0.5,0.1,1.225
22-May,6:00,Cyclonic Storm,35,937,12.8,75.0,97,15,0,73,22,1.3,0.2,1.225
22-May,6:00,Severe Cyclonic Storm,69,992,8.6,78.6,93,22,12,39,26,0.6,0.2,1.225
23-May,0:00,Severe Cyclonic Storm,44,952,16.0,74.6,97,20,8,11,24,0.2,1.0,1.225
23-May,6:00,Disturbance,213,997,11.2,75.0,85,12,9,66,15,0.9,0.2,1.225
23-May,12:00,Cyclonic Storm,96,956,11.1,79.0,91,27,3,94,18,1.1,1.0,1.225
23-May,18:00,Cyclonic Storm,91,950,10.8,73.5,89,21,0,29,15,0.2,1.4,1.225
24-May,18:00,Low Pressure Area,217,985,17.7,77.5,80,14,8,38,12,0.7,1.8,1.225
24-May,18:00,Extremely Severe Cyclonic Storm,166,956,9.4,83.2,75,10,11,40,16,0.5,0.7,1.225
24-May,0:00,Low Pressure Area,175,940,19.5,84.5,94,18,13,12,24,0.2,0.4,1.225
24-May,6:00,Low Pressure Area,142,943,17.0,82.0,96,27,11,54,27,1.4,1.8,1.225
